,0,1
0,5.126827,-1.0344746
1,4.445411,-1.2958176
2,4.4533825,-1.6716983
3,0.9265195,1.2365701
4,0.7812076,1.3309247
5,0.86560816,1.2701308
6,1.0313754,1.4627924
7,0.9018781,1.3597918
8,-3.428235,-3.5710883
9,-8.843423,-1.0562817
10,-10.43784,1.2627636
11,2.6364422,-7.111607
12,8.880477,-1.3111612
13,-2.926413,-5.8429947
14,4.7689166,1.7530731
15,-1.4957106,4.6694117
16,0.09053524,5.7322154
17,-2.0356905,5.1788244
18,-2.455036,6.4762435
19,-7.298666,-1.4899752
20,4.8160257,-0.924157
21,-2.0474982,-1.1105931
22,0.20119621,5.9609647
23,-4.393593,-5.562699
24,-4.283826,-5.6894736
25,-3.82375,-5.7021585
26,-4.665973,-5.2157626
27,-3.5517638,-5.56113
28,-3.7922869,-6.281695
29,-1.9732016,6.3435636
30,-3.62084,-5.3934755
31,-5.1839767,5.1432147
32,-2.0272503,-2.0396926
33,-3.9944036,-1.6851275
34,-2.508693,-1.986751
35,-6.2173066,-2.5562844
36,-4.112505,-5.7123175
37,-4.003848,-5.581183
38,-3.8810859,-5.223964
39,-4.041519,-5.2510004
40,-4.1580863,-0.52865106
41,-8.523257,-1.7379698
42,-8.794795,-0.49862045
43,-3.7628436,-5.110381
44,-8.728518,-1.6165564
45,-8.72431,-1.6220431
46,-8.886768,-1.1336423
47,-8.810825,-1.4961288
48,-8.568188,-1.8075196
49,-8.588301,-1.9716012
50,-8.710315,-0.9048924
51,-8.129255,0.2203153
52,-10.523838,1.3004416
53,-7.559158,-0.032940056
54,-7.9787817,0.20924805
55,-8.587505,-1.000288
56,-8.622026,-1.7416455
57,-8.84731,-1.2456254
58,-5.4888744,-1.3668079
59,-8.314597,0.1898179
60,-2.6991892,7.0581975
61,-8.75985,-1.4074699
62,-8.76165,-1.2772251
63,-8.780831,-1.4196935
64,-8.007337,0.09687875
65,-10.481926,1.2747232
66,-10.51512,1.299598
67,-7.8919406,-0.2012231
68,-8.060713,0.24604915
69,3.6444864,18.660357
70,3.644017,18.582237
71,-8.2503,-0.35734618
72,-6.0273323,0.28053018
73,0.33964407,0.5612576
74,-4.44028,-5.2857814
75,2.524435,1.7012057
76,3.6817205,1.1679424
77,3.6573033,17.853003
78,-8.095343,0.0062223487
79,3.6514792,18.061792
80,3.654261,18.087969
81,3.649897,18.311407
82,3.645894,18.714697
83,3.6455965,18.979263
84,3.6460836,18.778883
85,3.0358024,-1.6615282
86,3.1682253,-1.9751382
87,3.3792982,-1.6867172
88,3.4113595,-1.4310457
89,-2.729699,-1.0492114
90,-0.3584902,4.8167768
91,3.6522706,18.27132
92,3.8662548,0.969113
93,5.3410826,1.4604169
94,5.3773556,1.6372528
95,5.1558986,1.077749
96,5.2444067,1.6921151
97,2.0392933,-3.86681
98,-5.5167,-0.44668752
99,-4.4456367,-5.529494
100,-5.537714,0.67420536
101,-2.1931584,-1.1746441
102,3.6540675,18.273914
103,-2.6902218,7.467711
104,-5.780864,1.024701
105,-5.8583817,-0.4075491
106,5.0223293,-4.851222
107,5.267568,-5.0292525
108,5.26113,-5.044595
109,5.6938305,-5.151329
110,5.4100776,-5.353942
111,-5.4087954,-1.4442728
112,-1.5998203,6.116396
113,6.2989173,0.5288832
114,-5.8993154,1.4338137
115,3.645946,18.569265
116,-4.752302,-1.5632483
117,-0.09197812,-1.6562281
118,1.5713221,-4.3118014
119,4.596655,-4.669101
120,4.5571833,-5.0294795
121,4.535898,-4.830354
122,6.84146,0.62695456
123,-1.7792112,4.746458
124,-1.6840138,4.701568
125,-2.3334496,5.460609
126,-5.7772985,-1.6319169
127,-2.1964834,6.4908967
128,-5.3040295,-1.278574
129,-5.340666,-0.85805196
130,0.6155551,1.1974037
131,-5.4676013,0.29348132
132,-0.38363916,4.0462694
133,-3.1867263,5.660582
134,-5.846551,-3.9115686
135,-3.5296602,5.463994
136,-1.1298877,5.8672614
137,-1.3623374,4.2580256
138,-0.47056064,4.564886
139,-0.89249694,5.8026986
140,-5.383133,-1.9649565
141,9.454275,-7.3763375
142,-6.778373,-1.3026166
143,2.6126182,-6.2824616
144,-5.2868853,-2.6156843
145,4.2558994,0.6801794
146,-5.4195375,-3.2429636
147,-4.5694976,-5.314583
148,-4.8396597,-5.035292
149,1.7630593,-4.1046166
150,-5.115393,-3.778324
151,-5.2374578,-4.2859387
152,-5.2339835,-1.805552
153,-5.509225,-2.827307
154,-2.3221362,5.837746
155,-1.9640306,5.9862533
156,-2.1876845,6.3121777
