,0,1
0,4.5892615,-0.38724467
1,4.8193836,-1.3649775
2,4.7174706,-1.746284
3,1.8248883,4.4589143
4,1.8504931,4.217142
5,1.8334612,4.4369774
6,1.8956958,4.332998
7,1.7792315,4.548952
8,-3.617271,-2.5070133
9,-7.5147123,-4.6720853
10,-11.090202,-3.4835954
11,3.4968054,-8.349976
12,2.3359382,0.60608524
13,-2.6082528,-6.801051
14,-2.69853,3.0530038
15,-1.7024722,8.277831
16,0.11572982,7.347189
17,-1.7654372,9.822591
18,-2.7451074,8.904044
19,-6.8742433,-2.5316164
20,4.4419737,-0.68442124
21,-3.442427,0.26394886
22,9.171707,-9.164811
23,-5.3355937,-6.176041
24,-5.177563,-6.1680307
25,-4.582014,-6.7425404
26,-5.1617684,-5.844998
27,-4.564175,-6.6432185
28,-4.318088,-6.662423
29,-2.6052077,7.8445945
30,-4.690777,-6.6291933
31,-3.6902819,5.678208
32,-4.6054926,-1.0176216
33,-5.351555,-1.3368933
34,-4.5703473,-1.1737697
35,-7.9745755,-1.65529
36,-4.9656267,-6.4283304
37,-4.8427463,-5.8200502
38,-4.982579,-5.173108
39,-4.99973,-5.552398
40,-6.0415235,-3.2470903
41,-6.505353,-4.8883724
42,-8.7071905,-3.9792354
43,-4.693653,-5.049808
44,-6.9065914,-4.9845905
45,-6.0481133,-4.215928
46,-7.1131682,-4.639803
47,-6.957941,-5.114839
48,-5.1857395,-4.2298207
49,-6.1455574,-5.1975555
50,-8.557562,-3.830101
51,-8.587244,-3.2649
52,-11.164547,-3.487418
53,-8.130604,-3.2563117
54,-8.351278,-3.2608075
55,-8.251075,-4.099789
56,-6.401062,-5.4295616
57,-7.176405,-4.8752723
58,-6.0710998,-1.0604093
59,-9.105643,-2.9030638
60,-3.4606118,9.063838
61,-7.185008,-5.0036187
62,-6.9496427,-4.6630573
63,-6.881621,-5.0364394
64,-8.749376,-3.1209126
65,-11.239958,-3.4748566
66,-11.169211,-3.478358
67,-8.582457,-3.4899287
68,-8.580516,-3.3549685
69,0.019063823,15.577679
70,0.067503005,15.734992
71,-8.036526,-2.2773566
72,-7.651704,-0.5058074
73,1.7626252,4.190119
74,-4.940243,-5.386249
75,2.7384892,2.8688314
76,3.845668,2.0364466
77,-0.07349494,15.127601
78,-7.7948675,-3.1219234
79,-0.10332249,14.74526
80,-0.13840352,15.046749
81,-0.17928602,15.158193
82,-0.23176284,15.3686
83,-0.043630436,15.520062
84,-0.0034148102,15.726258
85,1.8275383,-0.67043877
86,1.8587401,-0.77220136
87,1.891254,-0.5589903
88,1.7922792,-0.6228304
89,-3.6474068,-0.6175054
90,-1.1708701,11.151368
91,-0.11534606,15.215974
92,4.0609584,2.6167936
93,5.3496113,-0.60471165
94,5.179774,-0.72691727
95,5.346568,-0.22946763
96,4.7849727,-0.5588247
97,4.7359867,-4.279206
98,-6.0564127,-0.22376521
99,-5.7788367,-5.9172554
100,-6.5223475,0.21531504
101,-3.555513,-0.34500527
102,-0.089993596,15.32062
103,-3.303614,8.763929
104,-5.6786156,0.92992127
105,-6.3744764,-0.19522147
106,6.7605333,-9.461991
107,7.099161,-9.341441
108,6.6259475,-9.446607
109,5.847658,-9.743379
110,6.107716,-9.675927
111,-6.557919,-0.015564173
112,-1.5498642,8.109197
113,5.778106,2.1130636
114,-5.762909,1.4074872
115,0.06466666,15.70756
116,-5.6456556,-1.0600367
117,-2.0353887,-1.2042855
118,4.507688,-6.135477
119,7.049311,-8.42931
120,7.007365,-9.023376
121,7.0803285,-8.799878
122,7.2937346,2.2441313
123,-1.7242725,8.271461
124,-1.7193972,8.493995
125,-2.319947,8.062094
126,-6.2172213,-0.38456002
127,-1.9243356,8.801077
128,-5.799401,-0.18910329
129,-6.070092,-0.14744684
130,1.7959335,4.3872266
131,-6.2619987,-0.27733207
132,-0.0841841,8.076257
133,-2.4614377,6.800982
134,-4.767921,5.7978463
135,-2.6256454,6.8181467
136,-1.2781346,7.930034
137,-1.4986529,8.642273
138,-0.37565947,7.4845057
139,-1.43828,7.9313235
140,-5.3772464,-1.5403998
141,5.3780107,-13.96293
142,-8.015114,-1.2640882
143,4.091614,-7.6409445
144,-5.7947087,-0.3710813
145,4.344795,2.5111394
146,-5.5529833,-1.8099788
147,-4.7724056,-5.21699
148,-4.9208097,-5.5974755
149,4.70239,-4.577072
150,-5.6871004,-2.3397264
151,-5.506816,-2.865409
152,-5.7981544,-0.87039983
153,-5.4769835,-2.1196425
154,-1.5562038,9.263123
155,-1.9015926,8.58476
156,-1.3293793,8.6788435
157,-1.6150372,8.780466
158,-7.6721144,-1.7545779
159,-6.728061,-0.85028803
160,-5.9101944,-0.6830954
161,-6.588175,-0.8027109
162,-1.9849379,-1.5624698
163,-3.2227292,-0.9630471
164,-2.0825126,8.189145
165,-5.39297,-3.500673
166,-3.4723105,-6.535794
167,-3.2804298,-6.5755715
168,-0.7460865,9.304849
169,-0.82577336,8.275778
170,-4.229438,-5.9073467
171,-3.24002,-6.5969
172,-4.5120277,-5.274797
173,-1.4900147,8.04663
174,-0.47861004,9.531548
175,-0.040017407,9.637009
176,0.87239635,9.152166
177,-0.6742533,9.2983
178,-1.0672314,9.358561
179,-1.4336102,7.5184226
180,-0.6393053,8.698328
181,-2.2040148,8.711693
182,-0.98404187,10.468624
183,-1.1241903,9.0025015
184,-0.88329697,9.410514
185,-0.7010137,9.4491415
186,0.17274146,7.621416
187,-0.3336898,7.1614494
188,7.583772,-9.566706
189,8.782889,-9.164825
190,-3.0504928,8.598662
191,-1.7564508,7.4370875
192,-6.611599,-0.35333598
193,-1.4767336,9.659294
194,-0.15968062,15.390347
195,-0.10851095,15.038444
196,-1.58734,-1.6097388
197,-0.13768332,15.174889
198,-0.52257806,13.758519
199,0.1811554,9.493202
200,-1.1176687,11.043206
201,-1.0399352,11.55096
202,-1.1400659,11.40461
203,-0.7260896,-1.4751376
204,-0.19118072,15.279454
205,-5.321238,-1.6445141
206,-5.413522,-1.6218749
207,-3.215258,-6.5096846
208,-5.587697,-1.2533368
209,-3.5879557,-6.431174
210,-3.4783645,-6.5017567
211,3.717027,-8.177768
212,-3.6373632,-6.4554515
213,-3.4507973,-6.5635357
214,-3.486194,-6.4431396
215,7.5067163,-9.734091
216,3.4953883,1.5400169
217,0.123132296,15.948307
218,-2.803619,-5.2461824
219,-2.76418,-3.0262709
220,-2.8859518,-5.3081403
221,-7.707201,-2.1275353
222,-3.9744945,5.0078363
223,-3.831884,5.3295493
224,-3.5843701,5.9513574
225,-3.5511172,5.339752
226,-3.9598582,5.2769384
227,-6.1674924,-0.45618203
228,-2.9076602,0.5256048
229,-1.9329127,-0.6068468
230,-3.326835,1.6663688
231,-3.1149178,0.99002606
232,-1.4652411,7.092511
233,-1.9241288,8.400277
234,-1.9113781,7.2575912
235,-1.4119841,7.1424327
236,-1.9450811,7.1759505
237,0.03479949,15.590595
238,-3.7190096,0.42125297
239,0.26702836,9.502653
240,0.15573235,9.43715
241,-3.0650096,6.6624393
242,-7.690858,4.5028534
243,-3.5105164,0.6158457
244,0.254486,9.428814
245,0.33664244,9.459729
246,0.07053379,9.36303
247,-2.8454785,7.873239
248,-3.2506664,7.194233
249,-3.5448556,0.06501934
250,5.658005,-13.133994
251,-7.84839,3.9898593
252,-2.7470858,7.177598
253,-2.499217,7.9894247
254,-2.4255652,7.939738
255,-2.5702536,8.118899
256,-2.4372697,8.154881
257,5.692674,2.3230848
258,-1.0596677,9.694596
259,-2.3580403,7.4278097
260,6.76671,2.3297064
261,-3.6252828,-0.13174799
262,-3.5531933,-6.6689672
263,7.8632145,0.085607424
264,6.6432037,-0.034892302
265,8.777513,1.1937097
266,8.605313,1.1550751
267,9.332374,1.6670974
268,9.243173,-0.82137275
269,6.8229976,-9.540682
270,8.016999,-0.8166706
271,6.7144723,-9.870151
272,7.706135,-9.630774
273,2.480308,-0.0072029103
274,1.3265322,-0.6758415
275,-5.666953,0.4331912
276,-7.8566084,-1.683436
277,3.6998386,-4.674326
278,2.762631,-0.30316114
279,7.4807305,-9.435098
280,-6.654231,-0.7208631
281,-11.06532,-3.4855096
282,-10.764134,-3.400533
283,-3.1972237,-5.094947
284,-1.8915397,7.9053
285,-3.4607966,-1.5179956
286,-3.2786543,0.43691754
287,-3.3354323,-2.6418424
288,-5.847518,-0.10131094
289,-2.9990988,8.713793
290,-3.19233,8.719207
291,-2.7050066,8.254247
292,5.530878,-13.630156
293,-7.293605,3.3902338
294,5.6453347,-13.181501
295,6.869118,2.1839786
296,5.124489,-0.03216182
297,-3.713285,7.3312597
298,2.4525363,-0.33097553
299,-11.088661,-3.4710274
300,-11.091196,-3.493474
301,3.1391022,-0.30944836
302,2.7928402,-0.39217705
303,3.110091,0.40552354
304,7.4532986,-9.91517
305,-0.84726936,7.2466993
306,-2.0912309,8.118066
307,-4.336446,1.4341677
308,6.6598425,2.016966
309,5.7592344,-12.697579
310,-5.404289,-1.8670063
311,-6.0222363,-0.26836592
312,5.461789,-13.876891
313,7.639642,-9.930549
314,7.4308114,-9.264399
315,0.005630944,15.472151
316,0.12875682,15.853776
317,7.604583,-9.427647
318,-3.5130568,6.0895543
319,-3.2744884,6.433185
320,-3.3486223,6.177463
321,5.4383183,-14.073236
322,4.8325176,-4.266952
323,4.6482005,-4.6655555
324,4.6379967,-4.959212
325,7.0013585,-8.001321
326,7.187221,-8.01258
327,0.12695138,15.916469
328,0.2439716,16.219833
329,-6.891825,2.8775992
330,5.7272334,-12.824819
331,5.41403,-14.006581
332,5.4115353,-14.135151
333,5.4168973,-14.015429
334,4.01721,-0.5015844
335,5.2330513,-0.7440594
336,5.4043016,-0.7001651
337,5.292751,-0.6499875
338,6.310636,1.9783202
339,5.423144,0.0006349087
340,5.255018,-0.4138393
341,6.7334337,0.5836101
342,4.741465,-3.334117
343,5.424891,-14.135172
344,2.6449537,0.5580206
345,-10.867045,-3.421911
346,5.4248476,-14.16712
347,-1.8698784,7.902079
348,-7.762981,4.2939167
349,-7.523703,4.698634
350,-4.7993817,0.5063496
351,5.4315324,-14.089944
352,5.424068,-14.229295
353,7.5841184,-0.044159148
354,7.6527777,-0.789128
355,-1.9394394,8.2219925
356,5.9488645,-11.85778
357,9.213302,-0.8421074
358,9.229629,-0.90571636
359,8.047026,0.23590714
360,9.335285,-0.92653835
361,5.738095,-12.691327
362,-5.730953,0.33988982
363,-5.8882675,-0.82222295
364,-4.2969265,-0.7332773
365,9.270139,1.5659312
366,9.313353,1.8139565
367,5.403192,-14.264124
368,-4.701109,0.22766227
369,-4.6681666,0.45373815
370,-6.2923217,-0.65488094
371,5.149254,-3.7579362
372,7.9734564,-0.07647471
373,4.902371,-0.6880999
374,7.333888,0.4744692
375,7.2422204,0.44837824
376,9.275334,3.3432243
377,6.429369,0.63292766
378,9.116062,-0.71049803
379,9.245996,3.3871427
380,9.203929,3.3308039
381,8.646147,2.911776
382,8.291922,2.622968
383,8.079733,2.546951
384,8.079073,2.4772947
